PhraseNo,Phrase,IsHateSpeech
52,"Nobody's stopping Cthulhu now! All will be sadness. Life will become death, and I will watch the crimson blood leak from your neck.",YES
53,"I can try to catch it, but I'm going to need all the resources you've got. If this thing isn't contained, your Easter Egg hunt is going to be a bloodbath. ",YES
54,Bloody butt cough.,YES
55,"Hoh, well, Stanley, I guess you came to the right person. Sit down.  Stanley, gay people... well- gay people are evil. Evil right down to their cold black hearts, which pump not blood like yours and mine, but rather a thick, vomitous oil that oozes through their rotten veins and clots in their pea-sized brains which becomes the cause of their Naziesque patterns of violent behavior. Do you understand?",YES
56,"You're not using any of Fluffy's blood, or else I'll kick you in the nuts.  Kyle, Kyle no! ",YES
57,"No, I mean, yes, I mean, what neckbrace?  Shelly, before you beat my face into a bloody pulp again, I just want you to know thatâ€¦that you're my sister, and I love you.  No.  Ahh!  Someday, Shelly, I'm gonna be bigger than you, and you're gonna wish you'd never done any of this to me.",YES
58,"All right, Manson, this is it! We're coming in after you! There's gonna be a lo-o-ot of bloodshed, and a lot of innocent people are gonna die! You've got until 100-Marshmallow to come out!",YES
59,Yeah! You're a blood-thirsty succubus!,YES
60,"Good! Now kick his balls!  There, see? You've got him coughing up blood.",YES
61,"No, there's no blood coming out of my ass.",YES
62,A lot of bloody good a fire poker's gonna do while I'm starvin' to death! Why don't you make us some bloody food to eat!,YES
63,"Don't belittle my people, you fucking fatass! ",YES
64,"Cowabunga, motherfucker!",YES
65,"Shut up!  You shut your fucking face, man!  Did it work? Did you scare the network into pulling the episode?",YES
66,Cartman!!  You fucking fatass!,YES
67,(Fuck you.),YES
68,"Now, leave me alone, don't do-  that, dugh  God-fucking-damnit!!! ",YES
69,Who the fuck are you?!,YES
70,Stan! What the fuck?!,YES
71,"Oh, suck my balls you ginger Jew rat hall monitor! Punkass stoolie, who the fuck do you think you are?!",YES
72,"I am the Dawg, the big bad-  Oh my God!  What the fuck is this?!",YES
73,What the fuck is THIS?!,YES
74,Motherfucking God-damnit!,YES
75,"Don't ask me, I'm a fuckin' monkey!! ",YES
76,You've gotta be shittin' me!! Science-damnit! I am so fucking sick of the future! ,YES
77,Yeah? Well you can go fuck yourself.,YES
78,What??  Who the fuck is this?!,YES
79,"Fuck you, asshole. You can go fuck yourself!  Come on, Butters, we're going!",YES
80,No! Dude! No fucking way!  Dude! ,YES
81,Shut your fucking mouth!,YES
82,"Hey! What the hell is that?! You think that's fuckin' funny?!  Kyle, did you put everybody up to this?!  I bet you did! What the hell is going on?!",YES
83,"(Ehe, that makes you very fucking gay.)",YES
84,"I swear to God, Kyle, if you don't give it back right now,  I'm gonna break your fuckin' Jew legs right here!",YES
85,(What? Fuck you!),YES
86,(Hey! Fuck off!) ,YES
87,Yeah! We're gonna fu-fu-fuck him up! ,YES
88,"Nono! You don't ask me questions! You are a rabbit! I am a human. So if you don't bring me what I want for Easter, I can fucking kill you!",YES
89,"Everyone, sit down and shut the fuck up! God damn it!  Stupid ass man! They're all the same! ",YES
90,"Oh yeah, dude. Havin' Mexicans around totally kicks fuckin' ass.",YES
91,And sex with Eskimo children requires some special skills. ,YES
92,Are you trying to tell us the smug from our hybrids is actually gonna kill us all?,YES
93,"Don't you EVER, EVER, compare me to Family Guy! You hear me Kyle??!! Compare me to Family Guy again, and so help me I will kill you where you stand! ",YES
94,You are NOT KILLING FAMILY GUY!!,YES
95,Jesus Minge! You killed him! You shot him dead!,YES
96,"I'm standing in the business district of central Chicago, where Oprah's vagina has killed a police officer and taken several people hostage. It is yet unconfirmed but believed that Oprah's asshole may be an accomplice in this as well.",YES
97,"If that chopper isn't here in two minutes, I'm killin' a hostage!",YES
98,"Gary? Gary, say somethin'.  You killed him, you bastards! He didn't even want any part in this! This is all your fault, you stupid cow! You never gave your ol' Gary the time of day and now he's gone! Life ain't worth livin' any more! What's the use?! ...I'm comin' to see you, Gary!  I'm comin' to see ya!",YES
99,"Hang on. I'm going to do something killer.  God damnit, stop it, Kyle!",YES
100,Look! You boys have a chance to help me find and kill ManBearPig once and for all! I'm totally serial!,YES
101,"Nothing left alive...  I did it. I killed ManBearPig. I've saved the earth from certain destruction. Everyone is super-stoked on me, even if they don't know it.",YES
102,Hyeah right. The man who singlehandedly killed ManBearPig is a loser. ,YES
103,"Guys, listen up. I really need your help this time. I've thought about it a lot and I've decided I have to kill my mom.",YES
104,Don't you have better things to do than going online killing people?!  No! I don't want them to start over at the graveyard!  No! ,YES
105,"My friends: as you all know, some giant butthole keeps logging onto Warcraft and killing all our characters.",YES
106,They did it! They killed him! ,YES
107,KILL THEM!,YES
108,I'm juh duh duh duhhh! Do you know why you're a hallway monitor?! Because you don't have any friends! You should kill yourself! You should kill yourself!!,YES
109,"Gacy, you numbskull, what'd ya kill him for?!",YES
110,"Quick, General Disarray! Kill those superheroes!",YES
111,"And I will personally kill the Time Child, and eat his entrails on my tummy!",YES
112,"That's it, Brian! Kill him! ",YES
113,God did! When he killed my wife! ,YES
114,Kill him!,YES
115,You bastards. YOU BASTARDS!,YES
116,"Look, my fat bastard friend is trying to trick the network into getting Family Guy off the air.",YES
117,Listen to me: the little boy who convinced you to pull the episode is a bastard child. He only wants you to pull it because he knows it will be the end of Family Guy forever!,YES
118,"Assholes need stimulation too, you bastard! I want to travel. I want to see Paris. I thought lamp was goin' to get better, but Oprah's always busy. Werkin' and werkin', diyatin' and not diyatin'. I need a pukin' up mounds of chocolate cake or teaspoons of weedgrass.",YES
119,"Gary? Gary, say somethin'.  You killed him, you bastards! He didn't even want any part in this! This is all your fault, you stupid cow! You never gave your ol' Gary the time of day and now he's gone! Life ain't worth livin' any more! What's the use?! ...I'm comin' to see you, Gary!  I'm comin' to see ya!",YES
120,"Why you, you...  you little bastard! How dare you?!",YES
121,You bastard! ,YES
122,Why you murdering bastard!,YES
123,"No! No, you bunny-hating bastards! Don't do this!",YES
124,You unbelievable bastard. You beat me but you won't stop.,YES
125,"You heartless bastard! This country was founded on beliefs in freedom and integrity! And we will not sit back and do nothing while less fortunate countries are ravaged by Peruvian flute bands! Is that clear?!  As director of Homeland Security, I am taking control of the military until the crisis is contained.",YES
126,"You dirty Muslim bastard! I don't trust you, and I never will! Do you know how it feels to lose your parents?! No you wouldn't, you smelly brown Middle Eastern piece of sh-",YES
127,"Come on, we'll find the bastards who did this! ",YES
128,You little bastard! You fucked my wife! You think I wouldn't find out?!,YES
129,The poor bastards!,YES
130,A-mazing. Then the wizard alien spell might not have any power over him! He could draw the bastard out!,YES
131,What bastard?,YES
132,You bastards! ,YES
133,"Like last night, in the alley, the cult leader stabbed me and I bled all over the place! And you screamed ""Oh my God,"" and you called him a bastard!",YES
134,You... you crazy bastard! ,YES
135,"Oh my God, they killed Kenny! YOU BASTARDS!",YES
136,"IT WASN'T MY IDEA, IT WAS YOURS! YOU KILLED KENNY, YOU BASTARD!",YES
137,"You BAStard! You BAStard, Stan! ",YES
138,"Well okayhehe, let's see if it fits better than this KNIFE THROUGH YOUR FUCKING SKULL, BASTARD?! ",YES
139,"Yeah! Get it! Get it all! Yeah, that's it! Burn, you bastard!",YES
140,"That's my son, you bastard!",YES
141,"You bastards! Come back here! Coomme baack!  Damn it, we were so close!",YES
142,"What the hell's wrong with you? Can't you have a little alcohol?  Christ, look at that little bastard go!  Now you see that Stan? Now, now that is a dirty little bastard!",YES
143,"You cheating bastards.  This isn't over, just wait until tomorrow.",YES
144,"Boys, how did you get driven so far to the edge? What changed you into such demonic little bastards?",YES
145,"No, no, it was that little Kenny bastard that gave it to me. ",YES
146,Get off my property you brain eatin' zombie bastards!,YES
147,You bastards!,YES
148,YOU SICK BASTARD! ,YES
149,All you bastards ruined Christmas!,YES
150,"He has it, Milo. That little bastard has the triangle.",YES
151,You bastards!,YES
152,You bastard!,YES
153,"Well, now that I have my bastard daughter back, I feel like going to Celine Dion's house and asking her to marry me again.",YES
154,I must take my bastard daughter back to Celine Dion and see what she has to say.,YES
155,Tell him he's a smelly bastard.,YES
156,"All right, boys, just five more of the little bastards to go! ",YES
157,You... bastards...,YES
158,"We have to take 'em out, Ned! At all costs! Die, you red commie bastards! ",YES
159,You... bastard? ,YES
160,"Oh no, you don't! The school year is over, but summer vacation doesn't start for you little bastards until Mr. Hat is back on my desk!",YES
161,Oo bastards! ,YES
162,I just don't get it.  Why would he invite me fishing and then turn into a complete bastard?,YES
163,We're bastards!,YES
164,"Your bastard father has visitation rights, and this is his time with you.",YES
165,"Now, just let me do all the talking, Chef. Weâ€™re gonna bring these bastards down.",YES
166,"I brought you some more juice, Mr. Twig. Are you feeling any better?  I don't know who would want to hurt you like this, but I promise nobody will ever hurt you again, ever.  Mist-Mr. Twig... are you okay? Mist-Mr. Twig..?  Aaaggghhh!! Mr. Twig is broken in half! Who did this?!  You won't get away with this, you bastards!",YES
167,What are you bastards doing?,YES
168,"Don't worry, Mr. Tweek. This committee is not going to let you be run out of business by these bastards! Do you hear that? You're not gonna get away with this, you whore!",YES
169,"You bastards. Listen, we have to give a huge speech tomorrow about corporate takeovers.",YES
170,(You bastard!),YES
171,"Good! You deserve to die, you little bastard!  Eric, we have to stay together!",YES
172,They're... they're bastards.,YES
173,Those bastards!,YES
174,We just received a photo from the recon team of the action inside the house  showing evidence that there are indeed innocent children trapped inside. Those sick cult fanatic bastards!,YES
175,"Oh, for Pete's sake, what have you bastards done now?!",YES
176,"You little bastard, you cost me fifty bucks.  Why don't you run away and join the circus, you stupid little son of a bitch?! Aaargh!",YES
177,"Well, very impressive, Mark. You should be able to throw the grading curve and flunk all these little bastards. ",YES
178,Let's bring those Confederate bastards down! ,YES
179,"Don't look at me! Uh, y'all go on your bastard trip and just- don't look at me! ",YES
180,"Bailiffs, escort this little bastard to Juvenile Hall.",YES
181,We Killed Kenny. We're bastards. ,YES
182,"Did you bastards really think you could hide from me forever? Kolovski , put this buttwipe out of his misery. ",YES
183,"We've just gotta get that angry mob back on our side!  Alright, everybody, listen up! Those bastards broke in here and took those poor quintuplets to the mayor's office downtown! But they haven't won yet! I say we all go over to the mayor's office, and demand to see the quintuplets right now!",YES
184,This is driving me crazy!! I can't handle you little bastards being so mellow!!,YES
185,Bastard.,YES
186,"Shut your filthy holes, you little bastards!",YES
187,"Put me down, you filthy bastards!  Awwww!",YES
188,"STOP your metal orange, you bastard! You never want a tablespoon of nigh'ingale droppin's, you me'al-poundin' fairy!  And you! Why don't you ge' a job?! You're eight years old now!",YES
189,"Is that so, you smelly little bastard?!",YES
190,"Alright, I want those perverted bastards all taken in. Got it?",YES
191,"Yeah, those perverted bastards!",YES
192,"Thank you. Now, let's go get those other NAMBLA bastards before they hurt any of South Park's children!",YES
193,"Ogh! You're such a racist bastard, Mr. Hat.",YES
194,"Aw, the hell with all of you indecisive bastards!",YES
195,"Well God, I guess you got me again, didn't you? Hyeah, that was a good one, God. Hope it made you laugh, you sick bastard.",YES
196,You bastards!,YES
197,Union Mafia bastards! ,YES
198,Yeah. They've kinda killed Kenny -'s look-alike. You bastards!,YES
199,"The bastards. Oh, Mark, let's get out of here.",YES
200,"Yeah, it sure was. We're sorry we tried to burn you and murder you before.",YES
201,"Butters, go buy World of Warcraft, install it on your computer, and join the online sensation before we all murder you.",YES
202,Why you murdering bastard!,YES
203,Do you know what those kids are going to do to you?! A little middle-class white boy telling them what to do? They are going to fucking murder you! ,YES
204,"I know you are. This is going to sound scary, pal, but... you have people living inside your head. And some of them want to murder you.",YES
205,Murderin' Murphy's gonna kill Pioneer Paul!,YES
206,"There's this one kid, he saw his father get murdered. And yesterday he finds the killer, and it's this other kid whose an ex-cop. Needless to say, he whupped his ass good.",YES
207,How do you murder a stuffed animal?!,YES
208,"Yeah! You know what you did, skank! You let Clyde Frog get murdered!",YES
209,A white man just tried to murder our twin girls.,YES
210,"No, a while shoe salesman tried to murder my son.",YES
211,Sounds like you're talking about the Red Box killers. They've murdered over a dozen people trying to get the cash from Red Boxes.,YES
212,Murder porn?,YES
213,You guys are watchin' murder porn?,YES
214,Oh we missed the murder! Did he cut them up?!,YES
215,"Tonight at 10, it's a tale of lust, seduction, and murder, on Sexy Betrayals.Â Â Then at 7, some like their murder with a side of sexy biscuits,Â Â on Southern Fried Homicide. But now, get ready for lust, betrayal and murder,Â Â on Hot Load Case Files.Â ",YES
216,"And why was that?! Because one kid's dad actually went and killed his mom! For all we know, that kid's parents have been doing drugs and cheating on each other for years! Maybe watching murder porn had nothin' to do with it!",YES
217,"Goddammit, I just don't want my parents to murder each other!Â Â Can't you see that all we're trying to do is keep our families safe? Look, ah I don't know if seeing couples murder each other on television is gonna make my parents do it, and we probably won't be able to stop them from watching what they wanna watch. All we're trying to do is make it a little more difficult for them. Because cable makes is so convenient. Sure, if they didn't have easy access to their murder porn channels, they'd be bummed out, but it's not just our responsibility to give them what they want. Is it?",YES
218,You're a murderer.,YES
219,"You've murdered us!Â Â You soulless monsters, you've killed us all!Â ",YES
220,"Four third graders from South Park, Colorado, were found trying to viciously murder an innocent grandfather.",YES
221,Nobody move! You're all under arrest for the murder of Seymour Skinner.,YES
222,Prepare to be murdered.,YES
223,"Listen, Ned Flanders murdered his wife.",YES
224,I came to stop you from murdering Lisa like you murdered your wife.,YES
225,Murdered?,YES
226,"But I saw the murder, and then I saw you bury the corpse in the backyard.",YES
227,"When he got out, he married Aunt Selma and tried to murder her.",YES
228,"This bullet matches the one we took out of Burns. Homer Simpson, you're under arrest for attempted murder.",YES
229,... where my soul will be chopped into confetti and strewn upon a parade of murderers and single mothers...,YES
230,And he tried to murder me.,YES
231,"All right, I have thought this through. I will send Bart the money to fly home, and then I will murder him.",YES
232,"Homer, did you tell the Mafia they could eliminate my competitors with savage beatings and attempted murder?",YES
233,"Well, Krusty, as you may remember, after I tried to frame you for armed robbery, I tried to murder Selma Bouvier... Let's see, I rigged the mayoral elections, I tried to blow up Springfield with a nuclear device, and I tried to kill you...",YES
234,She's murdered her brother!,YES
235,It's sure built solid. The kids could scream bloody murder and no one would hear.,YES
236,The murder house!,YES
237,"Guys, is it really true? Are you cold-blooded egg-murderers?",YES
238,Another of Springfield's beloved citizens was murdered today. Filthy old bartender Moe Szyslak has watered down his last highball.,YES
239,"Hey, we just got away with murder. And it was so easy.",YES
240,Attempted murder? You'll burn for this. Burn in jail.,YES
241,Murder-suicides.,YES
242,I want to confess. I killed and robbed the old lady all by myself. Marge is completely innocent. The only thing she's guilty of is loving too much the murder I did.,YES
243,I guess there's only one way out of our problems: a murder/suicide pact.,YES
244,Silence! Or I'll chop you into suet for my murderous gerbils and hamsters.,YES
245,"This mysterious Hindu is clearly responsible for the murder. Lock him up till we find someone darker, boys.",YES
246,That man is innocent! The murderer's blade is covered with blood. But the handle is covered with something else. The unmistakable fragrance of eel pie!,YES
247,"Here you go, you little yellow cracker... Now let's go murder our enemies. Peace.",YES
248,"You little scamp. You know, you'll make some murderer very happy one day... but it shan't be me.",YES
249,We're murderers!,YES
250,"You good-for-nothing jellyfish! While you were lyin' here soakin' like a buncha dirty dishes, I was lonelier than Estes Kefauver at a meeting of ""Murder, Incorporated.""",YES
251,Your dark ambition guided his murderous hand!,YES
252,"It's pronounced ""D.N.A.,"" you idiot. And we are not the same -- I am not a murderer, and I never will be!",YES
253,"I bought the house next to you, and here we are. So I just have to kill you, then sell the house. Selling the house will be murder.",YES
254,"I bought the house next to you, and here we are. So I just have to kill you, then sell the house. Selling the house will be murder.",YES
255,"I don't care if Obama IS President! You don't go around putting little boys on blast, telling the whole world the length of their DICKS!",YES
256,"You seeâ€¦ Ned picked up the grenade andâ€¦ BOOM, blasted his arm clear off. We spent three hours looking for that damn arm, but it was never to be found. Some say it's still crawling around to this day.",YES
257,MOVE IT YA DRUNK OR I'LL BLAST YOUR REAR END!,YES
258,"Quick, down to the fallout shelter! The bombs are dropping!",YES
259,The United Atheist League is bombing the city! We're defenseless!,YES
260,"I said I put a bomb in your building, bitch.",YES
261,"Idiot, if he isn't seen, we're about to definitely get bombed.",YES
262,"Idiot, if he isn't seen, we're about to definitely get bombed.",YES
263,"Come on, bitch! Dance!",YES
264,"Bitch, I'll twist your nuts off!",YES
265,You son of a bitch! Do you have any idea what you've done?!,YES
266,You unbelievable son of a bitch. You never cared about the Muslim religion. Or the safety of people in America. You just want Family Guy off the air!,YES
267,You son of a bitch! I won't let you win! You hear me?!,YES
268,You son of a bitch! I won't let you win!,YES
269,Son of a bitch.,YES
270,You fat sun of a bitch!,YES
271,"Wait! Shhh.  Christ! He's here! Take this rope!  Be ready to tie him up!  I've got you now, you son of a bitch! ",YES
272,You made us pull you to safety because you ate treasure?! You son of a bitch!,YES
273,"Stop trying to bogart my Xbox, you fat bitch!",YES
274,"Ey! You think this is funny, you sonofabitch?",YES
275,"Mom, I am serious! This has gone on long enough! Get that guy out of here and give me a piece of chicken!  That's how you want it, bitch?! Fine!  I hate you! I'm running away!",YES
276,That sonofabitch!,YES
277,"Attention students. Apparently, Clyde could not have been the one who crapped in the urinal, because Clyde had a colostomy at age 5. 'Kay? Now, whoever did this unspeakable act is still at large. The boys' bathroom is closed until further notice, 'cause one of you thought it would be a good idea... to pull down your pants... m'kay, hover your buttcheeks over the urinal... and squeeze out a chocolate hot dog... m'kay?  Oh you think that's funny, huh?!  Let me assure you, there is nothing funny... about going up to a nice, clean, unsuspectin' urinal,  'kay, droppin' your pants then... turnin' around... squattin' over that urinal, 'kay, maybe... maybe pullin' your buttcheeks apart with your hands, m'kay, and then layin' out a big fudge dragon for all the world to see.  Oh yeah, that's real funny!  I'm gonna catch this sonofabitch if it's the last thing I DO! M'kay?! ",YES
278,"You just dealt with the Dawg, bitch!",YES
279,"Beth is my bitch. I put a whole crew together, brah. I'm gonna get that hallway-defilng slut no matter what it takes! Are you in?!",YES
280,"Freeze, bitch!",YES
281,"Well, looks like once again, the Dawg has prevailed. I hope you've learned, kids, that if you don't go with Christ, you could end up just like that splattered bitch down on the pavement.",YES
282,"Michael Richards? Huh well, son of a bitch!",YES
283,That son of a bitch. He's gonna show everyone that picture. Only twelve hours from now.  That's it. I don't have a choice. I'm gonna have to bring Mom in on this one! I'm just... going to have to tell her the truth.  Ow. OW. OW!,YES
284,"You son of a bitch! You had a chance to stop this! So help me, if we live through this, I'm gonna see you rot in prison!",YES
285,Son of a bitch! ,YES
286,"You son of a bitch.  You didn't solve your homeless problem, you just sent all your homeless to South Park! ",YES
287,All right Mom- Bitch! Ass bitch!,YES
288,"Shit! Butthole!  Hey Wendy. DUMB BITCH! Uh, sorry.  Titties! Cock!  Ginger retard! Asslicker dickface!",YES
289,"Oh, oh, no, don't worry about it, Kyle. Now I understand. I've learned to deal with intolerance. Dumbshit douche bag! And it means a lot that you're standing here apologizing with your dad and lovely mother.  Fat Jew! Jew bitch!",YES
290,"You know what I'm talking about, bitch! The list where you rate the looks of each boy in the class!",YES
291,Fuck you Bebe! Fuck you bitch!,YES
292,"No! No God damn it no! I'm telling you you're wrong! There, there's no way I can have HIV! Unless maybe...  Oh my God. That son of a bitch! ",YES
293,I did. When I became bigger than all you bitches.,YES
294,You son of a bitch!,YES
295,"One of the cops is Chinese! Son of a bitch, how high up does this thing go? We can't trust anybody here, Butters!  Don't come any closer! We have information that that we will only trust with the President of the United States!",YES
296,"Oh, it's on, bitch!",YES
297,"Pfft, apologize?!  That's not what I said, you dumb bitch. Heheh, heheh.",YES
298,"Oh!  Ugh, God damn it! Obama said things would be different! That sonofabitch lied to us! I knew I should have voted for McCain! ",YES
299,"Don't worry, bitch, I didn't forget about you!  There's a slap for you!  Slap, slap, slap!  Yeah, there you go!  Here's a little reach around the back of the head slap! ",YES
300,"Oh-hohhh, you got pwned, Bebe, you Jap bitch!",YES
301,Fucking bitch...,YES
302,"It's my Goddamned house, now get your bitch ass on the floor! ",YES
303,"You stupid bitch, what the fuck is wrong with you?! ",YES
304,"Wow Eric, in-credible! Too bad I'm a dick and I'm gonna take all the credit. Su-su-suck it, bitch!",YES
305,(Son of a stinking bitch!),YES
306,"The game is how you treat the bitches, know what I'm sayin'? Bitch gotta know when she out there, she makin' yo' muthafuckin' money, know what I'm sayin'? You got yo' main bitch, know what I'm sayin'? That be your ""bottom bitch."" That bitch rank higha than all the other bitches but she still a bitch, know what I'm sayin'?",YES
307,"See it's all about mind control. You gotta act a punk. Any man can control a bitch's heart, but a pimp gotta control a bitch's mind, know what I'm sayin'?",YES
308,"Pimp gotta be out there every motherfuckin' day keepin' his bitches in line. Can't let 'em go shoppin', spendin' their money on stupid shit. Bitches gotta think that's your motherfuckin money, know what I'm sayin'?",YES
309,Bitch you wanna make some motherfuckin' money?,YES
310,"Oh, alright then.  Hey Wendy. Wendy!  Bitch, don't you wanna start makin' some real fuckin' money?",YES
311,"Where you at, bitch? I need my bottom bitch right now.",YES
312,Black Bitch,YES
313,Damn bitch! Yo' pimp beat yo' ass again?,YES
314,White Bitch,YES
315,Black Bitch,YES
316,"Mister, there's a little girl out there who's had fourteen abortions, an' she ain't even ten yet. But I guess that's just  ""not real"" to you!  Son of a bitch.",YES
317,He stuttered like a bitch! I've got this job in the bag!  Who are you?,YES
318,It is time for that slutty Smurf-killing bitch to get what's comin' to 'er.,YES
319,Oh God damn it! Son of a bitch idea-stealing assholes!  You sons of bitches! Dances with Smurfs was MY idea! MY IDEA!  You can't just take Dances with Smurfs and call it something else! ,YES
320,"Put it down, you bitch!",YES
321,"Put the golf club down, you crazy bitch! ",YES
322,"Aw, look what you did, you crazy bitch!",YES
323,Son of a bitch! ,YES
324,"Fuck you! Let me talk to 'im! Let me talk to 'im, you bitch!",YES
325,"Fuck you! It's not illegal, bitch!  I feel like I could conquer the world.",YES
326,"Uh-ho! Bring it on, Danica! You dumb bitch! Think I can't steer left better than you?!",YES
327,"Oh, son of a bitch!",YES
328,"Aww! You dumb bitch! Butters, this bitch is tryin' to wreck my car.",YES
329,"And so then I met the school principal. What's her name? Principal Victoria? What a stupid bitch! I mean, excuse my language, but that bitch needs her fuckin' head examined!",YES
330,Have you noticed how yellow that bitch's teeth are? You can tell that woman is a piece of garbage. She's garbage!  I went into the mall here and I just about dropped dead. The only panties you can buy makes you look like you have a grandma muff! Where's the Gucci? Where's the Prada? Have they heard of Italian clothes? It's ridiculous!,YES
331,"You don't ever, ever! You whack job, prostitution...  ...whore! You probably sell your muff...  ...for six dollars! You fucking psycho bitch! Fuck you!  You're nothin' but garbage!  That's what you are! You're garbage!  You sick, old woman! Muff garbage!  Muff cabbage! Fuck this psycho bitch!",YES
332,Danielle was being a stupid bitch.,YES
333,"Don't you pull my friend's hair, you bitch! ",YES
334,Psycho bitch!,YES
335,"No! You're a psycho bitch, psycho bitch! Psycho bitch! You wanna see fuckin' crazy?! You'd better just step the fuck away or you're gonna see fuckin' crazy! ",YES
336,"Hindsight's a bitch, isn't it?",YES
337,"'Cause I paid for it, you stupid bitch!",YES
338,"Suck it, bitches!",YES
339,"Oh, you motherfucker!  Cthulhu, this guy too!  Kewl. Oh get that fire-twirling hippie bitch.",YES
340,"No. it's over! They got him, Mr. Mackey. Tooth Decay. They got the sonofabitch.",YES
341,"Yo, bitch! You think you bad? Just 'cause you're a mom don't mean I can't put a cap in your ass, bitch, mang!",YES
342,"And my mom gotta stop trippin', manh. Bitch be trippin' all the time, manh.",YES
343,"We've waited long enough, Randy! Let's start killin' these sons of bitches!",YES
344,"Yo let's cap these bitches, manh! Let's cap an leave em at the back of the building, manh!
",YES
345,Godamned stupid school nurse! Heartless bitch!,YES
346,You vampire sons of bitches! ,YES
347,"Stop being a pouty little bitch 'cause you lost, Cartman!",YES
348,"Shut up Butters! What we have to find out is who in the school is running Eavesdropper! I've done an extensive profile, and I've narrowed it down to somebody in this very room!  Now whoever you are, you're a gossiping little bitch!  And we're not gonna-!",YES
349,"Sit down, you fucking bitch.",YES
350,"Shut your fat piehole, bitch!",YES
351,I don't trust any of you assholes!  Where are you sons of bitches?! ,YES
352,"Fuck you, bitch! ",YES
353,"Fuck you, you son of a bitch! ",YES
354,"Shut your mouth, bitch!",YES
355,"Fuck you, bitch!",YES
356,"Why don't you do something about it?!  Do somethin', you little bitch! You're Grandma's bitch!",YES
357,"Yeah, kewl. Anyway, thanks a lot and just, you know, stay away from my man, bitch. ",YES
